id,name,unit_cost,unit_price,unit_profit,qty,total_cost,total_profit
2,Brinquedo_3,29.52,33.35,3.83,32,944.64,122.56
6,Brinquedo_7,93.30,111.32,18.02,1,93.30,18.02
7,Brinquedo_8,505.35,592.73,87.38,7,3537.45,611.66
8,Brinquedo_9,95.03,109.59,14.56,12,1140.36,174.72
9,Brinquedo_10,329.66,378.86,49.20,3,988.98,147.60
10,Brinquedo_11,528.09,599.42,71.33,1,528.09,71.33
13,Brinquedo_14,998.92,1179.77,180.85,1,998.92,180.85
15,Brinquedo_16,110.02,126.89,16.87,5,550.10,84.35
16,Brinquedo_17,677.32,788.17,110.85,1,677.32,110.85
19,Brinquedo_20,992.52,1182.21,189.69,6,5955.12,1138.14
20,Brinquedo_21,115.42,132.34,16.92,3,346.26,50.76
25,Brinquedo_26,635.28,753.05,117.77,1,635.28,117.77
26,Brinquedo_27,860.52,984.72,124.20,1,860.52,124.20
28,Brinquedo_29,418.56,499.70,81.14,8,3348.48,649.12
31,Brinquedo_32,434.58,518.12,83.54,7,3042.06,584.78
32,Brinquedo_33,745.40,850.42,105.02,1,745.40,105.02
34,Brinquedo_35,957.98,1146.10,188.12,7,6705.86,1316.84
36,Brinquedo_37,537.56,638.34,100.78,3,1612.68,302.34
38,Brinquedo_39,319.97,383.74,63.77,2,639.94,127.54
39,Brinquedo_40,617.53,733.61,116.08,3,1852.59,348.24
40,Brinquedo_41,88.38,105.75,17.37,3,265.14,52.11
41,Brinquedo_42,900.45,1074.75,174.30,1,900.45,174.30
43,Brinquedo_44,922.80,1078.63,155.83,1,922.80,155.83
46,Brinquedo_47,721.82,845.48,123.66,1,721.82,123.66
49,Brinquedo_50,100.27,119.66,19.39,10,1002.70,193.90
52,Brinquedo_53,520.12,614.96,94.84,1,520.12,94.84
53,Brinquedo_54,717.68,856.81,139.13,3,2153.04,417.39
58,Brinquedo_59,145.23,161.31,16.08,2,290.46,32.16
61,Brinquedo_62,594.39,710.38,115.99,2,1188.78,231.98
62,Brinquedo_63,353.42,415.74,62.32,5,1767.10,311.60
65,Brinquedo_66,486.15,563.52,77.37,1,486.15,77.37
70,Brinquedo_71,605.54,719.06,113.52,3,1816.62,340.56
71,Brinquedo_72,30.47,34.41,3.94,1,30.47,3.94
73,Brinquedo_74,213.20,254.42,41.22,10,2132.00,412.20
77,Brinquedo_78,769.80,914.43,144.63,1,769.80,144.63
79,Brinquedo_80,325.68,369.41,43.73,2,651.36,87.46
81,Brinquedo_82,543.36,604.16,60.80,3,1630.08,182.40
83,Brinquedo_84,845.53,990.54,145.01,6,5073.18,870.06
88,Brinquedo_89,234.53,269.62,35.09,1,234.53,35.09
89,Brinquedo_90,424.30,509.06,84.76,1,424.30,84.76
92,Brinquedo_93,451.99,527.16,75.17,1,451.99,75.17
95,Brinquedo_96,162.44,182.08,19.64,1,162.44,19.64
99,Brinquedo_100,99.61,113.25,13.64,6,597.66,81.84
